idS80 S80 idS90 S90 idC80 C80 idC90 C90 idLoG95 LoG95 idLoG120 LoG120 idLS80 LS80 idLS90 LS90 idLC80 LC80 idLC90 LC90 idLLoG95 LLoG95 idLLoG120 LLoG120
1 2.15 2 1.82 3 5.13 4 2.71 5 3.29 6 2.18 7 4.47 8 4.24 9 6.31 10 7.12 11 4.13 12 3.18
1 1.5 2 1.53 3 6.18 4 3.53 5 3.06 6 2 7 6.35 8 9.29 9 8.59 10 9.41 11 4.99 12 3.94
1 2.59 2 2.41 3 6.25 4 4 5 3 6 3.06 7 6.81 8 7.88 9 7.12 10 8.18 11 6.06 12 6.06
1 2.76 2 1.97 3 6.31 4 5.06 5 3.92 6 3.88 7 6.23 8 6.76 9 6.64 10 7.52 11 5.88 12 4.82
1 3 2 2.71 3 5.81 4 4 5 4 6 2.94 7 6.72 8 8.18 9 6.94 10 8 11 6.63 12 5.88
1 2.87 2 2.58 3 6.5 4 5.47 5 4.41 6 3.59 7 6.76 8 8.29 9 7.47 10 7.76 11 6 12 6.18
1 2.7 2 2.82 3 5.48 4 3.53 5 3.22 6 2.71 7 4.35 8 4.76 9 5.88 10 8.59 11 4.63 12 3.71
1 1.35 2 1.47 3 5.63 4 3.53 5 2.82 6 2.12 7 5.82 8 7.41 9 8.47 10 8.65 11 4.88 12 4.71
1 2.47 2 2.32 3 7.13 4 4.81 5 5.11 6 3.41 7 8 8 9.47 9 8.65 10 8.88 11 7.06 12 7
1 2.09 2 2.29 3 5.38 4 3.35 5 3.06 6 2.53 7 5.29 8 7.88 9 6.88 10 8.06 11 4.13 12 5.35
1 0.85 2 2.45 3 4.5 4 3 5 1.57 6 2.46 7 6.18 8 7.18 9 5.06 10 7.06 11 4.37 12 4.85
1 2.94 2 2.65 3 6.86 4 4.29 5 4 6 2.71 7 5.88 8 7.29 9 8.18 10 8.76 11 5.5 12 3.93
1 1.93 2 2 3 6.38 4 2.65 5 3.06 6 2.41 7 6.29 8 4.65 9 6 10 8.29 11 4.5 12 3
1 2.58 2 3.06 3 5 4 4.12 5 5.29 6 3.12 7 5.71 8 4.94 9 5.94 10 6.41 11 6.5 12 4.71
1 0.62 2 1.67 3 5.48 4 3.16 5 3 6 1.87 7 6.29 8 8.41 9 8.71 10 8.94 11 3.25 12 4.29
1 1.71 2 2.41 3 6.21 4 3.35 5 2.94 6 2.88 7 6.06 8 6.71 9 7.14 10 7.59 11 3.39 12 3.88
1 3.27 2 3.29 3 6.13 4 3.82 5 4.18 6 3.59 7 5.88 8 6.87 9 7.25 10 7.76 11 6.44 12 5.27
1 3.41 2 3 3 7 4 3.76 5 4.82 6 3.94 7 6.94 8 7.71 9 8.12 10 7.71 11 7.13 12 7
1 0.88 2 1.35 3 5.49 4 2.88 5 2.06 6 2.18 7 5.35 8 6.41 9 7.18 10 7.59 11 3.87 12 3.18
1 2.5 2 2.7 3 7.06 4 3.69 5 3.8 6 3.53 7 8.24 8 8.29 9 7.82 10 8.88 11 6.48 12 6.12
1 1.68 2 1.65 3 5.61 4 2.35 5 2.59 6 2 7 4.7 8 5.65 9 5.47 10 7.59 11 3.38 12 4.29
1 1.24 2 1 3 4.05 4 1.76 5 2.01 6 1.47 7 5 8 5 9 5.48 10 5.7 11 3.55 12 2.94
1 1.75 2 1.94 3 4 4 3.18 5 3.47 6 2.76 7 4.82 8 5.06 9 5.47 10 5.65 11 3.63 12 2.82
1 2.53 2 3.16 3 5.4 4 5.14 5 3.32 6 3.59 7 6.12 8 7.53 9 6.94 10 7.18 11 5.06 12 4.94
1 1.97 2 1.76 3 4.72 4 2.65 5 2.59 6 2 7 5.53 8 3.94 9 6.12 10 6.94 11 3.69 12 2.94
1 2.06 2 2.59 3 6.81 4 4.24 5 3.05 6 2.94 7 5.76 8 8.29 9 7 10 7.76 11 5.94 12 6.82
1 3.24 2 2 3 5.94 4 3.94 5 4.18 6 2.47 7 7.06 8 6.12 9 7.41 10 7.82 11 5.25 12 4.59
1 1.47 2 1.47 3 3.55 4 1.94 5 2.35 6 2.29 7 4.05 8 5.22 9 6.99 10 6.76 11 3.75 12 2.35
1 1.76 2 2.12 3 5.66 4 3.08 5 2.82 6 2.53 7 5.6 8 7.59 9 8.17 10 8.53 11 6 12 5.35
1 1.46 2 1.82 3 4.78 4 2.45 5 2.62 6 1.69 7 4.02 8 5.81 9 4.5 10 7.18 11 3.15 12 3.65
1 1.24 2 1.29 3 6.25 4 3.59 5 1.94 6 1.94 7 7.35 8 7 9 7.12 10 8.35 11 5.13 12 4.88
1 1.85 2 2.23 3 6.38 4 2.76 5 3.1 6 2.29 7 6.47 8 6.35 9 5.85 10 8.12 11 3.81 12 3.35
1 1.95 2 2.39 3 5.75 4 3.06 5 2.71 6 2.56 7 6.25 8 6.12 9 6.24 10 7.59 11 3.56 12 3.65
1 1.74 2 1.85 3 6.06 4 3.41 5 2.6 6 1.94 7 6.41 8 6.98 9 7.5 10 8.06 11 5.88 12 4.89
1 1.06 2 1.47 3 4.44 4 1.8 5 1.21 6 1.35 7 4.75 8 4.9 9 5.22 10 6.76 11 3.82 12 2.31
1 2.62 2 2.76 3 6.81 4 5.12 5 4.18 6 3 7 7.06 8 9.29 9 7.29 10 9.29 11 5.75 12 6.59
1 2.18 2 1.71 3 4.24 4 2.82 5 2.76 6 2.06 7 5.51 8 4.53 9 5.97 10 6.62 11 3.25 12 3.21
