filtro speedupConv speedupConvOpt
3 0.96464 26.435
19 1.0744 37.684
35 1.1718 34.457
51 1.2576 30.518
67 1.2906 28.345
83 1.4153 25.006
99 1.4537 24.608
115 1.5327 22.822
131 1.5919 20.217
147 1.7009 18.521
163 1.7688 16.545
179 1.8222 15.539
195 1.8479 14.234
211 1.9118 13.729
227 1.8681 12.998
243 1.8793 11.985
259 1.9693 11.417
275 2.0382 10.307
291 2.1187 10.401
307 2.1611 8.4734
323 2.2721 8.2823
339 2.288 7.8455
355 2.3315 7.1863
371 2.392 6.9882
387 2.458 6.5967
403 2.4817 6.278
419 2.5019 6.0714
435 2.5286 5.9674
451 2.6226 5.6828
467 2.6655 5.6042
483 2.6709 5.4929
499 2.6798 5.3678
515 2.7322 5.2671
