filtro tiempoConv tiempoConvOpt tiempoProd
3 12.692 0.46314 12.243
19 12.965 0.36967 13.931
35 13.217 0.44949 15.488
51 13.568 0.55912 17.063
67 15.151 0.68986 19.554
83 14.169 0.80194 20.053
99 15.773 0.93183 22.93
115 15.612 1.0485 23.928
131 15.965 1.257 25.414
147 16.488 1.5143 28.046
163 16.559 1.7704 29.291
179 16.959 1.9887 30.902
195 17.458 2.2664 32.26
211 17.727 2.4686 33.891
227 18.451 2.6517 34.467
243 19.174 3.0066 36.033
259 18.964 3.2709 37.345
275 19.129 3.7827 38.989
291 19.09 3.8888 40.446
307 19.424 4.9539 41.977
323 19.46 5.3385 44.215
339 20.045 5.8459 45.864
355 20.267 6.5755 47.253
371 20.358 6.9685 48.697
387 20.448 7.6191 50.261
403 20.797 8.2209 51.611
419 21.197 8.735 53.033
435 21.618 9.1604 54.664
451 21.271 9.8164 55.785
467 21.522 10.236 57.366
483 21.954 10.675 58.637
499 22.24 11.103 59.599
515 22.404 11.622 61.213
